part_code,description,material,quantity,unit_price,total_price,remarks
82637932,bracket J56,,1,,,
82657706,bracket J62,,1,,,
21994778,bracket J209,,1,,,
2531195,J228,,1,,,
82657706,J62,,1,,,
82637932,J56,,1,,,
82637932,J61,,1,,,
X74F,NC,,2,,,
21994778,"CONNECTIONS, UNDER, FRC, B-J209-p/no",,1,,,
22011090,FRC A,,1,,,Note 13: Use
981097,PVC tape,,1,,,Note 17: Tie to IECU Branch using
,Spare Fuses,,6,,,SF:
981097,"Tie, to, Flasher, Branch, using, PVC, tape",PVC tape,1,,,
XC209,"Torque, and, assembly, of, XC209(, CPT_30), connections, in, CPT, should, be, checked, as, they, have, Criticality [1], from, STD, 105-0001, B+, connector screwing, troque, M8=10Nm+/-20%,, M12=, 12N/m, +/-20%",,1,,,
FRC-B,"FRC-B, Connector, assembly, should, be, done, as, per, view, provided, above, Orientation, is, Elongated, hole, should, be, on, right, bottom, from, Fuse, and, Relay, view.",,1,,,
21453210,"Tape, back, connector, S05D, to, the, branch, point, indicated, using, paper, tape",paper tape,1,,,
21453210,"Tape, back, connector, X74F, to, the, branch, points, indicated, using, paper, tape",paper tape,1,,,
21453210,"Tape, back, connector, U06B20.A, to, the, branch, point, indicated, using, paper, tape",paper tape,1,,,
21453210,paper tape,paper,3,NA,NA,"Apply only 3 turns of paper tape, 21453210, for tape back connectors wherever specified"
980152,Volvo screw M3x10,screw,1,NA,NA,"Connector X53 should be mounted with bracket J622 with six point socket screw Volvo p/n 980152, or any alternate M3x10 screw"
J247,cable tie,cable tie,1,NA,NA,Tie connectors TI_A & TI_B with J247
82637932,bracket,bracket,1,NA,NA,Branchout orientation for HVAC connector E32 for 2.1 variant need to be rear side of the bracket 82637932
23361384,module,module,1,NA,NA,"When modules 23361384, 23361373 are not ordered with Harness use only Paper Tape J248 and discard J244 to secure S28B connector"
23361373,module,module,1,NA,NA,"When modules 23361384, 23361373 are not ordered with Harness use only Paper Tape J248 and discard J244 to secure S28B connector"
J248,Paper Tape,Paper Tape,1,NA,NA,"When modules 23361384, 23361373 are not ordered with Harness use only Paper Tape J248 and discard J244 to secure S28B connector"
J244,Paper Tape,Paper Tape,1,NA,NA,"When modules 23361384, 23361373 are ordered with Harness use only Paper Tape J244 and discard J248 to secure S28B connector."
981097,PVC tape,,1,,,
,Diode module,,1,,,
,Contact reel,,1,,,
,"Control unit, IECU2.0",,1,,,
20429800,"Control unit, Audio GY",,8,,,A07.A
20429801,"Control unit, Audio BN",,8,,,A07.B
"[{'part_code': '9128443', 'description': 'Door', 'material': 'GY', 'quantity': '6', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S02.A, 9520999', 'description': 'Stalk, switch, full-, /, dipped, beams, BK', 'material': None, 'quantity': '16', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S02.B, 995851', 'description': 'Stalk, switch, full-, /, dipped, beams, BK', 'material': None, 'quantity': '12', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S15, 996213', 'description': 'Switch, ignition, selector, type, NL', 'material': None, 'quantity': '8', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S130, 995850', 'description': 'Switch, Air, suspension', 'material': None, 'quantity': '1', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S75, 995850', 'description': 'Switch, beacon, warning, light, WH', 'material': None, 'quantity': '1', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S28A, 995850', 'description': 'Switch, power, take, off, 1, WH', 'material': None, 'quantity': '8', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': None, 'description': 'Switch, power, take, off, 2, WH', 'material': None, 'quantity': '8', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S58, 996212', 'description': 'Position, switch, clutch, pedal, NO., BK', 'material': None, 'quantity': '1', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'X01, 60110514', 'description': 'Connector, vehicle, diagnostics, BU', 'material': None, 'quantity': '18', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': None, 'description': 'BU', 'material': None, 'quantity': '15', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S05D, 995850', 'description': 'Switch, Interior, light, Dashboard, control, WH', 'material': None, 'quantity': '8', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'S22, 25592279', 'description': 'Switch, levelling, control, headlights, selector, type, NL', 'material': None, 'quantity': '3', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'H05, 984434', 'description': 'Buzzer, BK', 'material': None, 'quantity': '2', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'B25, 8397424', 'description': 'Sensor, accelerator, pedal, BK', 'material': None, 'quantity': '6', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'X74F, 996601', 'description': 'Power, outlet, 24V, front, WH', 'material': None, 'quantity': '3', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'TI_A, 968110', 'description': 'NL', 'material': None, 'quantity': '8', 'unit_price': None, 'total_price': None, 'remarks': None}, {'part_code': 'E32(1), 20367822', 'description': 'Climate, unit, BU', 'material': None, 'quantity': '6', 'unit_price': None, 'total_price': None, 'remarks': None}]"
X53,20846104,,1,,,
,"Plug, Allison, diagnostics, BK",,9,,,
BU,,,25,,,
NL,XC210_socket,,9,,,
BK,,,25,,,
BN,,,36,,,
NL,,,1,,,
VT,XC205_socket,,36,,,
GY,,,25,,,
GN,,,25,,,
VT,,,12,,,
S223,"995850, SWITCH, ECO, ROLL, WH",,8,,,
S243,995850,,1,,,
Switch,"Body, builder, electrical, centre, WH",,8,,,
S244,995850,,1,,,
Switch,"Body, builder, electrical, centre, WH",,8,,,
S245,995850,,1,,,
Switch,"Body, builder, electrical, centre, WH",,8,,,
Y41,60110490,,1,,,
NL,XBB3,,10,,,
NL,,,10,,,
S188,995850,,1,,,
Switch,"Fog, lamp., Front, WH",,8,,,
S189,995850,,1,,,
Switch,"Fog, Lamp, rear, WH",,8,,,
V04.B,946366,,1,,,
Diode,NL,,1,,,
V04.A,949597,,1,,,
Diode,NL,,1,,,
V05.B,946366,,1,,,
Diode,NL,,1,,,
V05.A,949597,,1,,,
Diode,NL,,1,,,
V06.B,946366,,1,,,
Diode,NL,,1,,,
V06.A,949597,,1,,,
Diode,NL,,1,,,
V01.B,946366,,1,,,
Diode,NL,,1,,,
V01.A,949597,,1,,,
Diode,NL,,1,,,
V02.B,"Diode, module, NL",,1,,,
V02.A,"Diode, module NL",,1,,,
V03.B,"Diode, NL",,1,,,
V03.A,"Diode, NL",,1,,,
E32_A,"HVAC, Climate, Unit, BU",,6,,,
S58A,"Switch, clutch_PPA, BK",,2,,,
A03.A,"Instrument, cluster, NL",,32,,,
A03.B,"Instrument, cluster, NL",,32,,,
A12A.X1,"Control, unit, ABS, (Anti-lock, Brake, System), BK",,17,,,
A12A.X2,"Control, unit, ABS, (Anti-lock, Brake, System), GY",,18,,,
A20,BK,,20,,,
S11,"Switch, bogie, lift, selector, type, WH",,8,,,
X115.A(1),"Contact, reel, BK",,12,,,
S198,"Switch, unit, ECS, min, rear, air, suspension, RHD, WH",,8,,,
X149,"Connector, Audio, NL",,4,,,
S67A,"Switch, unit, ECS (electronic, controlled, susp.), min, rear, air, suspension, WH",,8,,,
A149A.CN1,"Control, unit, IECU2.0, GN",,30,,,
A149A.CN2,"Control, unit, IECU2.0, GY",,20,,,
A149A.CN3(1),"Control, unit, IECU2.0, BK",,20,,,
A149A.CN3(2),"Control, unit, IECU2.0, GY",,20,,,
A125,"Control, unit, TGW (Telematics, Gateway), GY",,40,,,
V13.A,949597 NL,,1,,,
V13.B,946366 NL,,1,,,
A03B,"21171233 INSTRUMENT, CLUST, B, BK",,26,,,
A189.A,994119 GN,,12,,,
BB_2,20409331 LBL,,21,,,
GY,,,3,,,
GY,,,3,,,
GY,,,3,,,
GY,,,3,,,
NL,,,5,,,
A154,995854 BK,,14,,,
NL,,,10,,,
U06B20.A,"20367825 Voltage, converter, VT",,1,,,
"Ground, stud,, Instrument, panel",,,1,,,
"Ground, stud,, Instrument, panel",,,1,,,
"Ground, stud,, Instrument, panel,, ECUs",,,1,,,
"Batt, terminal, (XC209)",,,1,,,
J172,J172,,1,,,
J75,J75,,1,,,
J336,J55,,1,,,
J172,J172,,1,,,
J105,J349,,1,,,
J347,"J139, J139",,1,,,
J351,"J357, J357",,1,,,
J75,J94,,1,,,
J515,J515,,1,,,
J55,"J55, J55",,1,,,
J164,J164,,1,,,
J435,"J565, J565",,1,,,
J455,J433,,1,,,
J454,J454,,1,,,
J681,J681,,1,,,
J682,J682,,1,,,
J75,"J76, J76, J76",,1,,,
J79,J77,,1,,,
J104,J107,,1,,,
J233,"J236, J237",,1,,,
J369,J370,,1,,,
J275,J158,,1,,,
J64,"J64, J64",,1,,,
J92,J93,,1,,,
J110,J110,,1,,,
J221,J102,,1,,,
J07,"J08, J08",,1,,,
J84,J84,,1,,,
J85,J85,,1,,,
J224,J224,,1,,,
J502,"J503, J504",,1,,,
J231,"J231, J603",,1,,,
J277,J277,,1,,,
J274,"J276, J276, J276",,1,,,
J159,J159,,1,,,
J478,J478,,1,,,
J655,J655,,1,,,
J789,J789,,1,,,
J568,J568,,1,,,
